Expanded Polystyrene (EPS)_thickness(m)	mineral_wool_thickness(m)	Polyurethane (PUR)_thickness(m)	R(m²K/W)
0.167	0.061	0.078	9.571
0.167	0.061	0.083	9.793
0.167	0.061	0.089	10.015
0.167	0.061	0.094	10.237
0.167	0.061	0.100	10.459
0.167	0.067	0.050	8.614
0.167	0.067	0.056	8.836
0.167	0.067	0.061	9.058
0.167	0.067	0.067	9.280
0.167	0.067	0.072	9.503
0.167	0.067	0.078	9.725
0.167	0.067	0.083	9.947
0.167	0.067	0.089	10.169
0.167	0.067	0.094	10.392
0.167	0.067	0.100	10.614
0.167	0.072	0.050	8.768
0.167	0.072	0.056	8.990
0.167	0.072	0.061	9.213
0.167	0.072	0.067	9.435
0.167	0.072	0.072	9.657
0.167	0.072	0.078	9.879
0.167	0.072	0.083	10.101
0.167	0.072	0.089	10.324
0.167	0.072	0.094	10.546
0.167	0.072	0.100	10.768
0.167	0.078	0.050	8.922
0.167	0.078	0.056	9.145
0.167	0.078	0.061	9.367
0.167	0.078	0.067	9.589
0.167	0.078	0.072	9.811
0.167	0.078	0.078	10.034
0.167	0.078	0.083	10.256
0.167	0.078	0.089	10.478
0.167	0.078	0.094	10.700
0.167	0.078	0.100	10.922
0.167	0.083	0.050	9.077
0.167	0.083	0.056	9.299
0.167	0.083	0.061	9.521
0.167	0.083	0.067	9.743
0.167	0.083	0.072	9.966
0.167	0.083	0.078	10.188
0.167	0.083	0.083	10.410
0.167	0.083	0.089	10.632
0.167	0.083	0.094	10.854
0.167	0.083	0.100	11.077
0.167	0.089	0.050	9.231
0.167	0.089	0.056	9.453
0.167	0.089	0.061	9.675
0.167	0.089	0.067	9.898
0.167	0.089	0.072	10.120
0.167	0.089	0.078	10.342
0.167	0.089	0.083	10.564
0.167	0.089	0.089	10.787
0.167	0.089	0.094	11.009
0.167	0.089	0.100	11.231
0.167	0.094	0.050	9.385
0.167	0.094	0.056	9.608
0.167	0.094	0.061	9.830
0.167	0.094	0.067	10.052
0.167	0.094	0.072	10.274
0.167	0.094	0.078	10.496
0.167	0.094	0.083	10.719
0.167	0.094	0.089	10.941
0.167	0.094	0.094	11.163
0.167	0.094	0.100	11.385
0.167	0.100	0.050	9.540
0.167	0.100	0.056	9.762
0.167	0.100	0.061	9.984
0.167	0.100	0.067	10.206
0.167	0.100	0.072	10.429
0.167	0.100	0.078	10.651
0.167	0.100	0.083	10.873
0.167	0.100	0.089	11.095
0.167	0.100	0.094	11.317
0.167	0.100	0.100	11.540
0.183	0.050	0.050	8.627
0.183	0.050	0.056	8.849
0.183	0.050	0.061	9.071
0.183	0.050	0.067	9.294
0.183	0.050	0.072	9.516
0.183	0.050	0.078	9.738
0.183	0.050	0.083	9.960
0.183	0.050	0.089	10.183
0.183	0.050	0.094	10.405
0.183	0.050	0.100	10.627
0.183	0.056	0.050	8.781
0.183	0.056	0.056	9.004
0.183	0.056	0.061	9.226
0.183	0.056	0.067	9.448
0.183	0.056	0.072	9.670
0.183	0.056	0.078	9.892
0.183	0.056	0.083	10.115
0.183	0.056	0.089	10.337
0.183	0.056	0.094	10.559
0.183	0.056	0.100	10.781
0.183	0.061	0.050	8.936
0.183	0.061	0.056	9.158
0.183	0.061	0.061	9.380
0.183	0.061	0.067	9.602
0.183	0.061	0.072	9.825
0.183	0.061	0.078	10.047
0.183	0.061	0.083	10.269
0.183	0.061	0.089	10.491
0.183	0.061	0.094	10.713
0.183	0.061	0.100	10.936
0.183	0.067	0.050	9.090
0.183	0.067	0.056	9.312
0.183	0.067	0.061	9.534
0.183	0.067	0.067	9.757
0.183	0.067	0.072	9.979
0.183	0.067	0.078	10.201
0.183	0.067	0.083	10.423
0.183	0.067	0.089	10.646
0.183	0.067	0.094	10.868
0.183	0.067	0.100	11.090
0.183	0.072	0.050	9.244
0.183	0.072	0.056	9.466
0.183	0.072	0.061	9.689
0.183	0.072	0.067	9.911
0.183	0.072	0.072	10.133
0.183	0.072	0.078	10.355
0.183	0.072	0.083	10.578
0.183	0.072	0.089	10.800
0.183	0.072	0.094	11.022
0.183	0.072	0.100	11.244
0.183	0.078	0.050	9.399
