Expanded Polystyrene (EPS)_thickness(m),mineral_wool_thickness(m),Polyurethane (PUR)_thickness(m),R(m²K/W),Total_Cost
0.083,0.061,0.056,6.301,1393.8600000000001
0.083,0.061,0.061,6.523,1452.3600000000001
0.083,0.061,0.067,6.745,1522.5600000000002
0.083,0.061,0.072,6.967,1581.06
0.083,0.061,0.078,7.19,1651.2600000000002
0.083,0.061,0.083,7.412,1709.7600000000002
0.083,0.061,0.089,7.634,1779.96
0.083,0.061,0.094,7.856,1838.46
0.083,0.061,0.1,8.078,1908.6599999999999
0.083,0.067,0.05,6.233,1351.7400000000002
0.083,0.067,0.056,6.455,1421.9400000000003
0.083,0.067,0.061,6.677,1480.4400000000003
0.083,0.067,0.067,6.899,1550.64
0.083,0.067,0.072,7.122,1609.14
0.083,0.067,0.078,7.344,1679.3400000000001
0.083,0.067,0.083,7.566,1737.8400000000001
0.083,0.067,0.089,7.788,1808.04
0.083,0.067,0.094,8.011,1866.54
0.083,0.067,0.1,8.233,1936.7400000000002
0.083,0.072,0.05,6.387,1375.1399999999999
0.083,0.072,0.056,6.609,1445.3400000000001
0.083,0.072,0.061,6.832,1503.8400000000001
0.083,0.072,0.067,7.054,1574.04
0.083,0.072,0.072,7.276,1632.54
0.083,0.072,0.078,7.498,1702.7399999999998
0.083,0.072,0.083,7.72,1761.2399999999998
0.083,0.072,0.089,7.943,1831.4399999999998
0.083,0.072,0.094,8.165,1889.9399999999998
0.083,0.072,0.1,8.387,1960.1399999999999
0.083,0.078,0.05,6.541,1403.2200000000003
0.083,0.078,0.056,6.764,1473.42
0.083,0.078,0.061,6.986,1531.92
0.083,0.078,0.067,7.208,1602.12
0.083,0.078,0.072,7.43,1660.62
0.083,0.078,0.078,7.653,1730.8199999999997
0.083,0.078,0.083,7.875,1789.3200000000002
0.083,0.078,0.089,8.097,1859.52
0.083,0.078,0.094,8.319,1918.02
0.083,0.078,0.1,8.541,1988.2200000000003
0.083,0.083,0.05,6.696,1426.62
0.083,0.083,0.056,6.918,1496.8200000000002
0.083,0.083,0.061,7.14,1555.3200000000002
0.083,0.083,0.067,7.362,1625.5200000000002
0.083,0.083,0.072,7.585,1684.02
0.083,0.083,0.078,7.807,1754.2200000000003
0.083,0.083,0.083,8.029,1812.7200000000003
0.083,0.083,0.089,8.251,1882.92
0.083,0.083,0.094,8.474,1941.42
0.083,0.083,0.1,8.696,2011.62
0.083,0.089,0.05,6.85,1454.6999999999998
0.083,0.089,0.056,7.072,1524.9
0.083,0.089,0.061,7.295,1583.4
0.083,0.089,0.067,7.517,1653.6000000000001
0.083,0.089,0.072,7.739,1712.1
0.083,0.089,0.078,7.961,1782.3000000000002
0.083,0.089,0.083,8.183,1840.8000000000002
0.083,0.089,0.089,8.406,1911.0
0.083,0.089,0.094,8.628,1969.5
0.083,0.089,0.1,8.85,2039.6999999999998
0.083,0.094,0.05,7.004,1478.1
0.083,0.094,0.056,7.227,1548.3000000000002
0.083,0.094,0.061,7.449,1606.8000000000002
0.083,0.094,0.067,7.671,1677.0
0.083,0.094,0.072,7.893,1735.5
0.083,0.094,0.078,8.116,1805.6999999999998
0.083,0.094,0.083,8.338,1864.1999999999998
0.083,0.094,0.089,8.56,1934.3999999999999
0.083,0.094,0.094,8.782,1992.8999999999999
0.083,0.094,0.1,9.004,2063.1
0.083,0.1,0.05,7.159,1506.1800000000003
0.083,0.1,0.056,7.381,1576.38
0.083,0.1,0.061,7.603,1634.88
0.083,0.1,0.067,7.825,1705.08
0.083,0.1,0.072,8.048,1763.58
0.083,0.1,0.078,8.27,1833.7799999999997
0.083,0.1,0.083,8.492,1892.2800000000002
